masse_A
t	x	y
0,000000000E0	1,605015674E1	-1,010658307E2
6,666666667E-2	1,590727917E1	-1,011561870E2
1,000000000E-1	1,534271041E1	-1,010949777E2
1,333333333E-1	1,513172457E1	-1,010250113E2
1,666666667E-1	1,506320256E1	-1,010158982E2
2,000000000E-1	1,510143618E1	-1,010773599E2
2,333333333E-1	1,515537633E1	-1,011649206E2
2,666666667E-1	1,504372068E1	-1,011417505E2
3,000000000E-1	1,494044552E1	-1,012031197E2
3,333333333E-1	1,499902869E1	-1,011952656E2
3,666666667E-1	1,506958811E1	-1,011298025E2
4,000000000E-1	1,610913550E1	-1,011844843E2
4,333333333E-1	1,230524529E1	-9,787789967E1
4,666666667E-1	1,018208998E1	-9,213114929E1
5,000000000E-1	1,000925141E1	-8,235797468E1
5,333333333E-1	1,102828476E1	-6,815113601E1
5,666666667E-1	1,020788639E1	-4,991169238E1
6,000000000E-1	7,842611868E0	-3,042798441E1
6,333333333E-1	7,049948384E0	-9,958659223E0
6,666666667E-1	7,966720829E0	1,098712094E1
7,000000000E-1	6,644793530E0	3,185973391E1
7,333333333E-1	4,156434880E0	5,116622132E1
7,666666667E-1	3,978861845E0	6,783757834E1
8,000000000E-1	4,094932035E0	8,217631859E1
8,333333333E-1	2,117678218E0	9,261000144E1
8,666666667E-1	2,825979185E-1	1,005930499E2
9,000000000E-1	1,376335787E-1	1,046528089E2
9,333333333E-1	5,753577150E-2	1,046190475E2
9,666666667E-1	-1,182696059E0	1,011065876E2
1,000000000E0	-2,259183158E0	9,381586295E1
1,033333333E0	-2,808839826E0	8,415744221E1
1,066666667E0	-2,953653519E0	7,149253411E1
1,100000000E0	-3,832620664E0	5,754916907E1
1,133333333E0	-4,123307423E0	4,276822585E1
1,166666667E0	-4,810030859E0	2,685560955E1
1,200000000E0	-4,094956023E0	1,181731512E1
1,233333333E0	-4,052582825E0	-2,427795591E0
1,266666667E0	-4,077226459E0	-1,539241738E1
1,300000000E0	-3,935022346E0	-2,598809465E1
1,333333333E0	-2,937790920E0	-3,532745968E1
1,366666667E0	-2,776278794E0	-4,104426019E1
1,400000000E0	-2,258959248E0	-4,483185841E1
1,433333333E0	-1,155974335E0	-4,517458462E1
1,466666667E0	-4,010738365E-3	-4,301442765E1
1,500000000E0	1,800066008E-1	-3,843440167E1
1,533333333E0	1,058803526E0	-3,223945896E1
1,566666667E0	2,217025562E0	-2,310940989E1
1,600000000E0	3,039964272E0	-1,312659431E1
1,633333333E0	3,260270336E0	-2,184465594E0
1,666666667E0	4,170011567E0	9,268705917E0
1,700000000E0	4,923227163E0	2,062461287E1
1,733333333E0	5,181736271E0	3,159731261E1
1,766666667E0	5,763381185E0	4,177389452E1
1,800000000E0	6,109855233E0	5,022418969E1
1,833333333E0	6,280923115E0	5,710544340E1
1,866666667E0	6,191311874E0	6,209066003E1
1,900000000E0	6,147198218E0	6,586683095E1
1,933333333E0	6,128199600E0	6,674647232E1
1,966666667E0	6,096008301E0	6,592639673E1
2,000000000E0	6,006342798E0	6,351588852E1
2,033333333E0	5,860102242E0	5,885343467E1
2,066666667E0	5,157684971E0	5,303265184E1
2,100000000E0	5,103297808E0	4,568365644E1
2,133333333E0	4,829350564E0	3,741199233E1
2,166666667E0	4,077784481E0	2,884519685E1
2,200000000E0	3,981307700E0	2,066303373E1
2,233333333E0	3,262386377E0	1,238959985E1
2,266666667E0	2,870163065E0	4,130918856E0
2,300000000E0	2,562132289E0	-3,116537990E0
2,333333333E0	2,090012370E0	-8,777953230E0
2,366666667E0	1,955942547E0	-1,294754117E1
2,400000000E0	1,128592773E0	-1,690743011E1
2,433333333E0	1,060784587E0	-1,718237590E1
2,466666667E0	8,661631845E-1	-1,656607221E1
2,500000000E0	5,812863936E-1	-1,562988154E1
2,533333333E0	2,528293139E-1	-1,229611494E1
2,566666667E0	1,467911918E-1	-8,162194291E0
2,600000000E0	6,523978547E-2	-3,238572462E0
2,633333333E0	3,241629693E-2	2,997100996E0
2,666666667E0	3,552236834E-2	9,141461853E0
2,700000000E0	6,595093887E-2	1,597385945E1
